N: 72

mass, velocity, position
0.013888888888888888, -0.2544205 -0.3214052 -0.1295921, 0.029896546 0.0401497 0.00077047135
0.013888888888888888, 2.201839 0.3823146 -0.082346171, 0.010448078 -0.081741594 -0.0023623107
0.013888888888888888, 0.3368631 0.1680271 -0.086426243, 0.0021064279 -0.063476719 0.002919748
0.013888888888888888, 0.2828254 0.3345316 -0.074386373, 0.02633357 -0.056972452 -0.0046706595
0.013888888888888888, -0.1454191 0.176363 -0.1027685, 0.071152255 0.072724842 0.0013813569
0.013888888888888888, 1.338877 0.1599664 -0.042700663, 0.01889737 -0.1299703 -0.00012773725
0.013888888888888888, 0.4728396 -0.5432275 -0.050453696, -0.095393911 -0.061774544 0.0046766452
0.013888888888888888, -1.613945 1.119512 0.085417517, 0.066588134 0.080632165 -0.0026976988
0.013888888888888888, -2.096716 1.050782 0.1436618, 0.070130758 0.1118369 0.0057151583
0.013888888888888888, -0.7642765 1.3689 -0.064196587, 0.1226702 0.051501907 -0.0074894163
0.013888888888888888, 0.2087173 -1.509979 0.012888, -0.1517425 -0.024654409 0.0021264434
0.013888888888888888, -0.678789 1.545324 -0.182271, 0.1505217 0.01514572 -0.0013914701
0.013888888888888888, -1.277125 0.065895006 0.1065406, 0.032343786 0.1727971 0.0048838598
0.013888888888888888, 0.2391744 -0.05829607 -0.098336823, 0.1357098 -0.1272364 -0.0040972349
0.013888888888888888, -1.19242 -1.103457 0.042870317, -0.1375208 0.098240413 0.0059049013
0.013888888888888888, -1.645593 -1.004362 -0.081824973, -0.1255596 0.1492805 -0.0074003809
0.013888888888888888, 1.592616 0.030264921 0.1267644, -0.02279474 -0.2103315 0.001660364
0.013888888888888888, 0.8834207 0.9957244 -0.0008870759, 0.1493942 -0.1499108 -0.0011052915
0.013888888888888888, -2.030456 -0.2633697 -0.042489316, 0.0078834044 0.2185942 0.0045276429
0.013888888888888888, 1.776264 1.931266 0.053589422, 0.1690485 -0.1664112 -0.0026108762
0.013888888888888888, 0.5855567 -0.9701836 0.061145291, -0.1973172 -0.094577201 0.0066251163
0.013888888888888888, -1.959245 1.175827 -0.035788011, 0.092565849 0.1812924 -0.0056679742
0.013888888888888888, 1.65728 -0.7106696 -0.1087718, -0.1370027 -0.2523429 0.002175882
0.013888888888888888, 0.5908729 1.463162 0.1653159, 0.2340782 -0.1097785 -0.0014003965
0.013888888888888888, 1.242214 -0.7244638 -0.096935205, -0.1692083 -0.2123356 0.0037452483
0.013888888888888888, 0.3421268 1.335085 0.1027584, 0.2511965 -0.05499313 -0.0027672788
0.013888888888888888, 0.018198967 -0.1097478 0.025955662, -0.2362426 -0.137383 0.0058749178
0.013888888888888888, -1.480376 -1.09326 -0.016617253, -0.1864666 0.1727529 -0.0068200133
0.013888888888888888, 0.3245165 -1.330503 0.0050958078, -0.257986 -0.1538251 2.0807065E-05
0.013888888888888888, 1.724096 -2.794235 0.050509159, -0.2545755 -0.1666636 -0.00056581711
0.013888888888888888, -1.237583 1.146277 0.1257061, 0.2131938 0.2175715 0.0045765475
0.013888888888888888, -0.2549435 1.036865 -0.072854392, 0.3305242 -0.023106843 -0.0035056516
0.013888888888888888, -1.573449 -0.6174671 -0.1227065, -0.086473458 0.3127085 0.0068169953
0.013888888888888888, 0.2756513 -1.347172 0.086375087, -0.3372186 -0.040542036 -0.0059603327
0.013888888888888888, -0.082704552 1.935256 0.1194625, 0.3934114 -0.058125652 -1.7721379E-05
0.013888888888888888, 0.8918523 1.502622 -0.084950499, 0.2843763 -0.2426541 -0.0014570827
0.013888888888888888, -0.160597 0.7696959 0.156555, 0.3549592 -0.1021988 0.004460657
0.013888888888888888, 1.378954 -0.6116895 -0.071848921, -0.097561069 -0.3597759 -0.0040236874
0.013888888888888888, 0.9866573 -1.704723 -0.03064511, -0.2794184 -0.2276143 0.0062193847
0.013888888888888888, -0.047750935 -2.026468 -0.06070701, -0.3553472 -0.0081096357 -0.0054821223
0.013888888888888888, 0.690168 2.444719 0.079700105, 0.4127719 -0.1082864 0.0020189453
0.013888888888888888, 0.2365481 1.731133 -0.013900803, 0.3944417 -0.1526746 -0.00076242659
0.013888888888888888, -1.934615 -1.005382 -0.1456029, -0.1544616 0.3927814 0.0025476625
0.013888888888888888, -0.2834001 -2.24778 -0.048970707, -0.4401985 0.015790803 -0.0050084135
0.013888888888888888, 1.585793 1.153854 0.069173291, 0.2779685 -0.3535205 0.0052648713
0.013888888888888888, -1.285293 -0.4954441 -0.1129308, -0.1738395 0.3799194 -0.0066361446
0.013888888888888888, 0.7555619 2.066566 0.038809713, 0.3992438 -0.2134002 0.0017767884
0.013888888888888888, -0.6990486 -1.300098 0.045007624, -0.4381806 0.1729944 -0.00010782453
0.013888888888888888, -2.197499 -0.7000773 -0.079130061, -0.1991404 0.4553678 0.0031634306
0.013888888888888888, -1.91588 0.1860247 0.0023179902, 0.087611265 0.4828974 -0.003677313
0.013888888888888888, 1.510954 0.4808867 0.1327697, 0.1859418 -0.4817606 0.00053479936
0.013888888888888888, -0.1925993 0.058650926 0.03631027, 0.5140993 0.037030336 -0.0022494718
0.013888888888888888, -0.4832665 4.149804 -0.013965874, 0.5230906 0.051013604 0.0031271912
0.013888888888888888, 1.43519 -0.4208496 0.031291697, -0.083423927 -0.5191131 -0.0047126976
0.013888888888888888, 0.9859213 -1.458431 -0.039084159, -0.496478 -0.3244868 0.0022809387
0.013888888888888888, 0.6983114 -0.126936 -0.027849302, 0.066728696 -0.5505777 -0.0024801083
0.013888888888888888, 0.2853966 -1.580731 0.099175729, -0.5260918 -0.2017779 0.0039922884
0.013888888888888888, -0.8684511 -1.690312 -0.1327723, -0.4896118 0.2568943 -0.0035548613
0.013888888888888888, 1.464743 -0.8719845 -0.020657463, -0.206763 -0.5736987 0.0010989169
0.013888888888888888, 1.069692 -1.652923 -0.010433558, -0.4813388 -0.3743057 -0.0009301969
0.013888888888888888, 2.151407 0.5149168 0.1170187, 0.07662347 -0.60039 0.0044724061
0.013888888888888888, 0.286302 1.705992 0.016545691, 0.5838236 -0.188533 -0.002997305
0.013888888888888888, -0.5969391 -1.166849 -0.0017969529, -0.6804404 0.1008004 0.0022783447
0.013888888888888888, -1.263589 -1.744529 -0.06819547, -0.6166914 0.3287167 -0.001899893
0.013888888888888888, -0.9159489 -2.407298 0.080336846, -0.6982107 0.1486514 0.0012712649
